,EdgeID,startCoords,endCoords,distance
0,7032,"(38.466919, -122.42111200000001)","(38.475662, -122.40366399999999)",0.019516
1,7033,"(38.466919, -122.42111200000001)","(38.477333, -122.43550900000001)",0.017768
2,7034,"(38.466919, -122.42111200000001)","(38.433116999999996, -122.38968700000001)",0.046153
3,7035,"(38.475662, -122.40366399999999)","(38.485110999999996, -122.402573)",0.009512
4,7036,"(38.485110999999996, -122.402573)","(38.487724, -122.40041399999998)",0.00339
5,7037,"(38.487724, -122.40041399999998)","(38.485092, -122.391792)",0.009014
6,7038,"(38.485092, -122.391792)","(38.478767, -122.378258)",0.014939
7,7039,"(38.478767, -122.378258)","(38.477474, -122.370598)",0.007768
8,7040,"(38.477474, -122.370598)","(38.479263, -122.360527)",0.010228
9,7041,"(38.479263, -122.360527)","(38.493557, -122.34171299999998)",0.023628
10,7042,"(38.493557, -122.34171299999998)","(38.493423, -122.328011)",0.013703
11,7043,"(38.493423, -122.328011)","(38.489609, -122.314651)",0.013893
12,7044,"(38.489609, -122.314651)","(38.490790999999994, -122.30803700000001)",0.00672
13,7045,"(38.490790999999994, -122.30803700000001)","(38.489769, -122.299232)",0.008863
14,7046,"(38.489769, -122.299232)","(38.49601, -122.292374)",0.009273
15,7053,"(38.477333, -122.43550900000001)","(38.483921, -122.448196)",0.014296
16,7054,"(38.483921, -122.448196)","(38.499767, -122.464142)",0.02248
17,7083,"(38.475105, -122.723396)","(38.462635, -122.716843)",0.014087
18,7084,"(38.462635, -122.716843)","(38.441978000000006, -122.70723000000001)",0.022784
19,7089,"(38.454262, -122.683968)","(38.454948, -122.682671)",0.001468
20,7090,"(38.454262, -122.683968)","(38.441978000000006, -122.70723000000001)",0.026306
21,7091,"(38.454948, -122.682671)","(38.465332000000004, -122.67047099999999)",0.01602
22,7111,"(38.448597, -122.198692)","(38.459297, -122.21219599999999)",0.017229
23,7112,"(38.448597, -122.198692)","(38.441719, -122.18688999999999)",0.01366
24,7113,"(38.448597, -122.198692)","(38.433426000000004, -122.21106699999999)",0.019578
25,7114,"(38.459297, -122.21219599999999)","(38.474953, -122.22226)",0.018611
26,7115,"(38.474953, -122.22226)","(38.498543, -122.24043300000001)",0.029778
27,7117,"(38.441978000000006, -122.70723000000001)","(38.417942, -122.71424099999999)",0.025038
28,7138,"(38.49971, -122.021553)","(38.49987, -122.02941100000001)",0.00786
29,7146,"(38.465828, -122.14511100000001)","(38.441165999999996, -122.15426599999999)",0.026307
30,7147,"(38.441165999999996, -122.15426599999999)","(38.435009, -122.153282)",0.006235
31,7148,"(38.435009, -122.153282)","(38.433009999999996, -122.15751599999999)",0.004682
32,7149,"(38.433009999999996, -122.15751599999999)","(38.437862, -122.16831200000001)",0.011836
33,7150,"(38.437862, -122.16831200000001)","(38.441719, -122.18688999999999)",0.018974
34,7169,"(38.417942, -122.71424099999999)","(38.416584, -122.714272)",0.001358
35,7170,"(38.416584, -122.714272)","(38.380611, -122.715134)",0.035983
36,7189,"(38.403252, -122.35331699999999)","(38.405659, -122.35436200000001)",0.002624
37,7190,"(38.403252, -122.35331699999999)","(38.348927, -122.315933)",0.065945
38,7191,"(38.405659, -122.35436200000001)","(38.410286, -122.359047)",0.006584
39,7192,"(38.410286, -122.359047)","(38.417725, -122.373512)",0.016266
40,7193,"(38.417725, -122.373512)","(38.433116999999996, -122.38968700000001)",0.022328
41,7209,"(38.38353, -121.941643)","(38.414387, -121.899803)",0.051988
42,7210,"(38.38353, -121.941643)","(38.430428000000006, -121.937569)",0.047075
43,7211,"(38.38353, -121.941643)","(38.367512, -121.96373700000001)",0.02729
44,7214,"(38.485874, -121.940903)","(38.469769, -121.937302)",0.016503
45,7215,"(38.469769, -121.937302)","(38.444237, -121.93518799999998)",0.025619
46,7216,"(38.444237, -121.93518799999998)","(38.430428000000006, -121.937569)",0.014013
47,7225,"(38.367512, -121.96373700000001)","(38.363789000000004, -121.97091699999999)",0.008087
48,7226,"(38.363789000000004, -121.97091699999999)","(38.347614, -121.994469)",0.028571
49,7271,"(38.347614, -121.994469)","(38.346928000000005, -121.99569699999999)",0.001407
50,7272,"(38.346928000000005, -121.99569699999999)","(38.337532, -122.01244399999999)",0.019202
51,7287,"(38.380611, -122.715134)","(38.34597, -122.717377)",0.034714
52,7288,"(38.34597, -122.717377)","(38.333103, -122.716927)",0.012875
53,7290,"(38.333103, -122.716927)","(38.315098, -122.71695700000001)",0.018005
54,7297,"(38.348927, -122.315933)","(38.332664, -122.302971)",0.020796
55,7298,"(38.332664, -122.302971)","(38.331669, -122.302551)",0.00108
56,7299,"(38.331669, -122.302551)","(38.322453, -122.29871399999999)",0.009983
57,7300,"(38.433426000000004, -122.21106699999999)","(38.427203999999996, -122.21183)",0.006268
58,7301,"(38.427203999999996, -122.21183)","(38.405623999999996, -122.20661899999999)",0.0222
59,7302,"(38.405623999999996, -122.20661899999999)","(38.386948, -122.203346)",0.018961
60,7303,"(38.386948, -122.203346)","(38.377720000000004, -122.203056)",0.009232
61,7304,"(38.377720000000004, -122.203056)","(38.371559000000005, -122.20903799999999)",0.008587
62,7305,"(38.371559000000005, -122.20903799999999)","(38.363476, -122.205299)",0.008906
63,7306,"(38.363476, -122.205299)","(38.358856, -122.20614599999999)",0.004697
64,7307,"(38.358856, -122.20614599999999)","(38.347671999999996, -122.245232)",0.040654
65,7308,"(38.347671999999996, -122.245232)","(38.343365000000006, -122.255402)",0.011044
66,7309,"(38.343365000000006, -122.255402)","(38.329208, -122.271027)",0.021084
67,7310,"(38.329208, -122.271027)","(38.325352, -122.28546899999999)",0.014949
68,7311,"(38.325352, -122.28546899999999)","(38.32444, -122.285789)",0.000966
69,7312,"(38.32444, -122.285789)","(38.315056, -122.28907)",0.009941
70,7313,"(38.322453, -122.29871399999999)","(38.317085, -122.29647800000001)",0.005814
71,7332,"(38.317085, -122.29647800000001)","(38.306492, -122.292061)",0.011478
72,7333,"(38.465332000000004, -122.67047099999999)","(38.468303999999996, -122.665443)",0.00584
73,7334,"(38.468303999999996, -122.665443)","(38.468140000000005, -122.647957)",0.017487
74,7335,"(38.468140000000005, -122.647957)","(38.443989, -122.59588600000001)",0.057399
75,7336,"(38.443989, -122.59588600000001)","(38.430305, -122.56173700000001)",0.036789
76,7337,"(38.430305, -122.56173700000001)","(38.420685, -122.550591)",0.014724
77,7338,"(38.420685, -122.550591)","(38.412357, -122.546806)",0.009147
78,7339,"(38.412357, -122.546806)","(38.401623, -122.54023000000001)",0.012589
79,7340,"(38.401623, -122.54023000000001)","(38.354153000000004, -122.501717)",0.061128
80,7341,"(38.354153000000004, -122.501717)","(38.328590000000005, -122.48773200000001)",0.029138
81,7342,"(38.328590000000005, -122.48773200000001)","(38.317188, -122.48033899999999)",0.013589
82,7343,"(38.317188, -122.48033899999999)","(38.311428, -122.480026)",0.005769
83,7344,"(38.311428, -122.480026)","(38.30843, -122.479874)",0.003002
84,7345,"(38.30843, -122.479874)","(38.300701000000004, -122.474457)",0.009438
85,7346,"(38.315056, -122.28907)","(38.306492, -122.292061)",0.009071
86,7347,"(38.306492, -122.292061)","(38.291691, -122.274872)",0.022683
87,7348,"(38.300701000000004, -122.474457)","(38.300205, -122.469788)",0.004695
88,7349,"(38.300205, -122.469788)","(38.297436, -122.45913700000001)",0.011005
89,7350,"(38.297436, -122.45913700000001)","(38.294197, -122.454582)",0.005589
90,7351,"(38.294197, -122.454582)","(38.293251, -122.45464299999999)",0.000948
91,7352,"(38.293251, -122.45464299999999)","(38.284824, -122.45520800000001)",0.008446
92,7353,"(38.291691, -122.274872)","(38.291027, -122.27475700000001)",0.000674
93,7384,"(38.291027, -122.27475700000001)","(38.259968, -122.26940900000001)",0.031516
94,7385,"(38.284824, -122.45520800000001)","(38.273022, -122.456001)",0.011829
95,7386,"(38.337532, -122.01244399999999)","(38.332443, -122.019997)",0.009107
96,7387,"(38.332443, -122.019997)","(38.316891, -122.032173)",0.019752
97,7388,"(38.316891, -122.032173)","(38.305965, -122.03674299999999)",0.011843
98,7389,"(38.305965, -122.03674299999999)","(38.287113, -122.039383)",0.019036
99,7390,"(38.287113, -122.039383)","(38.261833, -122.048607)",0.02691
100,7391,"(38.261833, -122.048607)","(38.259068, -122.05046100000001)",0.00333
101,7392,"(38.259068, -122.05046100000001)","(38.258137, -122.049347)",0.001452
102,7393,"(38.258137, -122.049347)","(38.251652, -122.041634)",0.010077
103,7420,"(38.252441, -122.06186699999999)","(38.252891999999996, -122.06115700000001)",0.00084
104,7421,"(38.252441, -122.06186699999999)","(38.246796, -122.070847)",0.010607
105,7422,"(38.252891999999996, -122.06115700000001)","(38.251652, -122.041634)",0.019563
106,7423,"(38.315098, -122.71695700000001)","(38.311245, -122.71611000000001)",0.003945
107,7424,"(38.311245, -122.71611000000001)","(38.308597999999996, -122.71388200000001)",0.00346
108,7425,"(38.308597999999996, -122.71388200000001)","(38.297489, -122.70086699999999)",0.017112
109,7426,"(38.297489, -122.70086699999999)","(38.286495, -122.68524199999999)",0.019105
110,7427,"(38.286495, -122.68524199999999)","(38.277576, -122.66918899999999)",0.018364
111,7428,"(38.277576, -122.66918899999999)","(38.266869, -122.65213)",0.020141
112,7429,"(38.266869, -122.65213)","(38.258408, -122.64135700000001)",0.013698
113,7430,"(38.258408, -122.64135700000001)","(38.252228, -122.63498700000001)",0.008875
114,7431,"(38.252228, -122.63498700000001)","(38.251362, -122.635521)",0.001017
115,7432,"(38.251652, -122.041634)","(38.246475, -122.03231799999999)",0.010657
116,7433,"(38.251362, -122.635521)","(38.236618, -122.644539)",0.017283
117,7434,"(38.246475, -122.03231799999999)","(38.246136, -122.03093700000001)",0.001422
118,7435,"(38.246136, -122.03093700000001)","(38.244774, -122.025398)",0.005704
119,7457,"(38.236618, -122.644539)","(38.236301, -122.653236)",0.008703
120,7458,"(38.236618, -122.644539)","(38.235878, -122.627098)",0.017456
121,7459,"(38.236618, -122.644539)","(38.221934999999995, -122.64536299999999)",0.014706
122,7460,"(38.236301, -122.653236)","(38.236263, -122.65428899999999)",0.001054
123,7461,"(38.236263, -122.65428899999999)","(38.236053000000005, -122.66005700000001)",0.005772
124,7462,"(38.236053000000005, -122.66005700000001)","(38.235690999999996, -122.670029)",0.009978
125,7463,"(38.235878, -122.627098)","(38.232639, -122.622818)",0.005367
126,7464,"(38.235690999999996, -122.670029)","(38.235611, -122.672249)",0.002222
127,7465,"(38.235611, -122.672249)","(38.238754, -122.673927)",0.003563
128,7474,"(38.264458000000005, -122.721069)","(38.251163, -122.694557)",0.029659
129,7475,"(38.251163, -122.694557)","(38.238754, -122.673927)",0.024074
130,7531,"(38.221934999999995, -122.64536299999999)","(38.22102, -122.645126)",0.000946
131,7532,"(38.22102, -122.645126)","(38.214375, -122.64344799999999)",0.006854
132,7533,"(38.219707, -122.12824199999999)","(38.246796, -122.070847)",0.063467
133,7534,"(38.219707, -122.12824199999999)","(38.210029999999996, -122.147049)",0.021151
134,7535,"(38.219707, -122.12824199999999)","(38.198570000000004, -122.13498700000001)",0.022187
135,7539,"(38.224438, -121.889214)","(38.229442999999996, -121.896492)",0.008833
136,7540,"(38.229442999999996, -121.896492)","(38.228905, -121.96608)",0.06959
137,7541,"(38.228905, -121.96608)","(38.229919, -121.969627)",0.00369
138,7542,"(38.229919, -121.969627)","(38.239864000000004, -121.985626)",0.018838
139,7543,"(38.239864000000004, -121.985626)","(38.243893, -121.994293)",0.009557
140,7544,"(38.243893, -121.994293)","(38.244884000000006, -122.00451699999999)",0.010271
141,7545,"(38.244884000000006, -122.00451699999999)","(38.244774, -122.025398)",0.020882
142,7627,"(38.273022, -122.456001)","(38.268921, -122.455421)",0.004142
143,7628,"(38.268921, -122.455421)","(38.258263, -122.446854)",0.013675
144,7629,"(38.258263, -122.446854)","(38.251507000000004, -122.443771)",0.007426
145,7630,"(38.251507000000004, -122.443771)","(38.248847999999995, -122.44155900000001)",0.003459
146,7631,"(38.248847999999995, -122.44155900000001)","(38.238696999999995, -122.459427)",0.02055
147,7632,"(38.238696999999995, -122.459427)","(38.234726, -122.46118899999999)",0.004345
148,7633,"(38.234726, -122.46118899999999)","(38.214077, -122.455704)",0.021365
149,7634,"(38.214077, -122.455704)","(38.199965999999996, -122.44747199999999)",0.016336
150,7635,"(38.199965999999996, -122.44747199999999)","(38.194511, -122.446228)",0.005595
151,7636,"(38.194511, -122.446228)","(38.187134, -122.447166)",0.007437
152,7637,"(38.187134, -122.447166)","(38.174107, -122.457001)",0.016322
153,7638,"(38.174107, -122.457001)","(38.16835, -122.457474)",0.005776
154,7639,"(38.16835, -122.457474)","(38.153324, -122.454697)",0.015281
155,7640,"(38.153324, -122.454697)","(38.135185, -122.486107)",0.036271
156,7641,"(38.153324, -122.454697)","(38.157238, -122.404533)",0.050316
157,7767,"(38.259968, -122.26940900000001)","(38.254768, -122.26790600000001)",0.005412
158,7768,"(38.254768, -122.26790600000001)","(38.243782, -122.26226000000001)",0.012352
159,7769,"(38.243782, -122.26226000000001)","(38.233757000000004, -122.255508)",0.012087
160,7770,"(38.233757000000004, -122.255508)","(38.227866999999996, -122.25396699999999)",0.006088
161,7771,"(38.227866999999996, -122.25396699999999)","(38.210995000000004, -122.252602)",0.016928
162,7772,"(38.210995000000004, -122.252602)","(38.182392, -122.25282299999999)",0.028603
163,7773,"(38.182392, -122.25282299999999)","(38.144508, -122.25621000000001)",0.038035
164,7774,"(38.144508, -122.25621000000001)","(38.132065000000004, -122.255417)",0.012469
165,7775,"(38.132065000000004, -122.255417)","(38.130417, -122.25531799999999)",0.001651
166,7778,"(38.130417, -122.25531799999999)","(38.126255, -122.255051)",0.00417
167,7779,"(38.128445, -122.22905700000001)","(38.140083000000004, -122.218933)",0.015426
168,7780,"(38.128445, -122.22905700000001)","(38.127579, -122.22923300000001)",0.000884
169,7781,"(38.140083000000004, -122.218933)","(38.160709000000004, -122.209953)",0.022496
170,7782,"(38.160709000000004, -122.209953)","(38.16547, -122.207047)",0.005578
171,7783,"(38.16547, -122.207047)","(38.172646, -122.196503)",0.012754
172,7784,"(38.172646, -122.196503)","(38.176868, -122.19420600000001)",0.004807
173,7785,"(38.176868, -122.19420600000001)","(38.185909, -122.18771399999999)",0.011131
174,7786,"(38.185909, -122.18771399999999)","(38.188652000000005, -122.183998)",0.004618
175,7787,"(38.188652000000005, -122.183998)","(38.191837, -122.17806200000001)",0.006736
176,7788,"(38.191837, -122.17806200000001)","(38.197128, -122.16593200000001)",0.013234
177,7789,"(38.197128, -122.16593200000001)","(38.210029999999996, -122.147049)",0.022869
178,7790,"(38.127579, -122.22923300000001)","(38.100533, -122.234673)",0.027588
179,7798,"(38.135185, -122.486107)","(38.122169, -122.50533300000001)",0.023217
180,7800,"(38.11927, -122.29466200000002)","(38.119934, -122.295631)",0.001174
181,7801,"(38.119934, -122.295631)","(38.121002000000004, -122.303238)",0.007681
182,7802,"(38.121002000000004, -122.303238)","(38.134243, -122.33310700000001)",0.032672
183,7803,"(38.134243, -122.33310700000001)","(38.154686, -122.394203)",0.064426
184,7804,"(38.154686, -122.394203)","(38.157238, -122.404533)",0.010641
185,7807,"(38.126255, -122.255051)","(38.120834, -122.254204)",0.005486
186,7808,"(38.120834, -122.254204)","(38.117958, -122.253754)",0.002911
187,7809,"(38.117958, -122.253754)","(38.117558, -122.25331100000001)",0.000597
188,7816,"(38.117558, -122.25331100000001)","(38.100533, -122.234673)",0.025244
189,7836,"(38.232639, -122.622818)","(38.221237, -122.61650800000001)",0.013031
190,7837,"(38.221237, -122.61650800000001)","(38.207153000000005, -122.60331699999999)",0.019297
191,7838,"(38.207153000000005, -122.60331699999999)","(38.203121, -122.601303)",0.004507
192,7839,"(38.203121, -122.601303)","(38.199028000000006, -122.600723)",0.004134
193,7840,"(38.199028000000006, -122.600723)","(38.190692999999996, -122.603073)",0.00866
194,7841,"(38.190692999999996, -122.603073)","(38.187725, -122.60285900000001)",0.002976
195,7842,"(38.187725, -122.60285900000001)","(38.183884, -122.60173)",0.004004
196,7843,"(38.183884, -122.60173)","(38.179863, -122.599419)",0.004638
197,7844,"(38.179863, -122.599419)","(38.173782, -122.591728)",0.009804
198,7845,"(38.173782, -122.591728)","(38.166237, -122.58074199999999)",0.013328
199,7846,"(38.166237, -122.58074199999999)","(38.162952000000004, -122.577316)",0.004746
200,7847,"(38.162952000000004, -122.577316)","(38.158943, -122.574722)",0.004775
201,7848,"(38.158943, -122.574722)","(38.142879, -122.570427)",0.016628
202,7849,"(38.142879, -122.570427)","(38.127113, -122.569946)",0.015773
203,7850,"(38.127113, -122.569946)","(38.119267, -122.57144199999999)",0.007988
204,7851,"(38.119267, -122.57144199999999)","(38.111267, -122.574951)",0.008735
205,7852,"(38.111267, -122.574951)","(38.098778, -122.57106)",0.013081
206,7853,"(38.100533, -122.234673)","(38.083538, -122.22923300000001)",0.017844
207,7854,"(38.100533, -122.234673)","(38.082615000000004, -122.20770300000001)",0.032379
208,7870,"(38.098778, -122.57106)","(38.098221, -122.55941000000001)",0.011663
209,7871,"(38.098221, -122.55941000000001)","(38.097561, -122.55886100000001)",0.000859
210,7872,"(38.097561, -122.55886100000001)","(38.086265999999995, -122.549477)",0.014685
211,7883,"(38.119640000000004, -122.509064)","(38.116165, -122.514191)",0.006194
212,7884,"(38.116165, -122.514191)","(38.113499, -122.51779199999999)",0.004481
213,7885,"(38.113499, -122.51779199999999)","(38.110195000000004, -122.520187)",0.004081
214,7886,"(38.110195000000004, -122.520187)","(38.105389, -122.525673)",0.007293
215,7887,"(38.105389, -122.525673)","(38.096619, -122.538452)",0.015499
216,7888,"(38.096619, -122.538452)","(38.086265999999995, -122.549477)",0.015124
217,7889,"(38.086265999999995, -122.549477)","(38.078239, -122.545639)",0.008896
218,7901,"(38.083538, -122.22923300000001)","(38.082069, -122.22898899999998)",0.001489
219,7902,"(38.082615000000004, -122.20770300000001)","(38.079842, -122.200157)",0.008039
220,7903,"(38.082069, -122.22898899999998)","(38.080890999999994, -122.228798)",0.001194
221,7904,"(38.214375, -122.64344799999999)","(38.211304, -122.645554)",0.003723
222,7905,"(38.211304, -122.645554)","(38.20388, -122.642113)",0.008182
223,7906,"(38.20388, -122.642113)","(38.196583000000004, -122.656967)",0.01655
224,7907,"(38.196583000000004, -122.656967)","(38.190540000000006, -122.664078)",0.009331
225,7908,"(38.190540000000006, -122.664078)","(38.166698, -122.6847)",0.031523
226,7909,"(38.166698, -122.6847)","(38.159485, -122.69751699999999)",0.014708
227,7910,"(38.159485, -122.69751699999999)","(38.149184999999996, -122.707497)",0.014341
228,7911,"(38.149184999999996, -122.707497)","(38.12339, -122.72013100000001)",0.028723
229,7912,"(38.12339, -122.72013100000001)","(38.115596999999994, -122.71985600000001)",0.007798
230,7939,"(38.068199, -122.181068)","(38.073566, -122.191048)",0.011331
231,7940,"(38.068199, -122.181068)","(38.052859999999995, -122.152946)",0.032033
232,7941,"(38.073566, -122.191048)","(38.079842, -122.200157)",0.011062
233,7953,"(38.054840000000006, -122.134193)","(38.066891, -122.133423)",0.012075
234,7954,"(38.054840000000006, -122.134193)","(38.055904, -122.13941200000001)",0.005326
235,7955,"(38.054840000000006, -122.134193)","(38.050715999999994, -122.13153799999999)",0.004904
236,7956,"(38.066891, -122.133423)","(38.075053999999994, -122.12928000000001)",0.009154
237,7957,"(38.075053999999994, -122.12928000000001)","(38.080288, -122.124077)",0.00738
238,7958,"(38.080288, -122.124077)","(38.086411, -122.113724)",0.012028
239,7959,"(38.086411, -122.113724)","(38.089752000000004, -122.110153)",0.00489
240,7960,"(38.089752000000004, -122.110153)","(38.099899, -122.107872)",0.0104
241,7961,"(38.099899, -122.107872)","(38.108627, -122.107368)",0.008743
242,7962,"(38.108627, -122.107368)","(38.137454999999996, -122.108147)",0.028838
243,7963,"(38.137454999999996, -122.108147)","(38.151829, -122.110229)",0.014524
244,7964,"(38.151829, -122.110229)","(38.175159, -122.12361899999999)",0.0269
245,7965,"(38.175159, -122.12361899999999)","(38.186787, -122.131332)",0.013953
246,7966,"(38.186787, -122.131332)","(38.198570000000004, -122.13498700000001)",0.012337
247,7967,"(38.055904, -122.13941200000001)","(38.052859999999995, -122.152946)",0.013873
248,7990,"(38.045925, -122.239052)","(38.046757, -122.23835)",0.001088
249,7991,"(38.045925, -122.239052)","(38.039398, -122.244522)",0.008516
250,7992,"(38.046757, -122.23835)","(38.052288, -122.23206299999998)",0.008374
251,7993,"(38.052288, -122.23206299999998)","(38.05875, -122.22525)",0.00939
252,7994,"(38.05875, -122.22525)","(38.080890999999994, -122.228798)",0.022423
253,8006,"(38.035579999999996, -122.24812299999999)","(38.039398, -122.244522)",0.005249
254,8007,"(38.035579999999996, -122.24812299999999)","(38.032082, -122.251427)",0.004811
255,8008,"(38.032082, -122.251427)","(38.028809, -122.25451699999999)",0.004501
256,8009,"(38.028809, -122.25451699999999)","(38.018177, -122.264526)",0.014602
257,8010,"(38.045052, -122.02037800000001)","(38.048725, -122.023697)",0.004951
258,8011,"(38.048725, -122.023697)","(38.04932, -122.03214299999999)",0.008467
259,8012,"(38.04932, -122.03214299999999)","(38.047714, -122.04418899999999)",0.012153
260,8013,"(38.047714, -122.04418899999999)","(38.039818, -122.076393)",0.033158
261,8014,"(38.039818, -122.076393)","(38.034851, -122.086197)",0.01099
262,8015,"(38.034851, -122.086197)","(38.027344, -122.096428)",0.01269
263,8016,"(38.027344, -122.096428)","(38.020748, -122.10075400000001)",0.007888
